matchkey,donorkey,facilitykey,matchstatus,matchsubstatus,matchCreated,closedOrDelivered,enumcode,qty
8f3ba45b-2a9a-4d09-a8d2-34c04293b8bb,6972dd57-2cb3-4d93-8350-e3196a6c813c,022e7fbb-d4a7-4f06-bea3-501a3a9c284f,delivered,,2020-06-04 00:00:00 UTC,2020-10-14 08:10:42 UTC,face_shield,50
ccdbf133-6851-4cc5-9451-468fb8a2a42a,bd8fb9de-b900-46b1-8ab3-f1f32c46e7c3,022e7fbb-d4a7-4f06-bea3-501a3a9c284f,closed,no_supply,2020-08-04 03:59:17.122 UTC,2020-08-10 10:08:20 UTC,nitrile_gloves,20
cacd3ae9-926d-4df3-bdb7-85b55de83c35,5220d9b3-3dee-44cd-b17a-7a3f70d38bbe,023bd6f8-7ef3-4dd2-b9c3-4e630dc6e9bd,closed,,2021-02-24 01:59:35.082 UTC,2021-04-12 22:56:40.016 UTC,surgical_mask,50
d3f693d9-496a-4bc1-8b7c-3e254eaa999f,9b77678d-82a1-4c42-9e78-d07412cd2416,023bd6f8-7ef3-4dd2-b9c3-4e630dc6e9bd,closed,,2021-02-24 01:59:35.78 UTC,2021-04-12 22:56:40.016 UTC,gown,10
1a2b3539-7292-4798-afe8-8054c2cf9191,8663f1b1-c699-4274-9b84-9a950cb6979c,0247e366-08b9-4e58-9f21-ae1dd98a76a5,delivered,,2020-06-04 00:00:00 UTC,2020-10-14 08:10:59 UTC,2_way_radio,10
e4be7b29-37ea-40aa-9339-0834217fa0a7,1faa03d2-093f-4df6-9e53-00c8d25ae779,0247e366-08b9-4e58-9f21-ae1dd98a76a5,delivered,,2020-06-12 00:00:00 UTC,2020-10-14 07:10:42 UTC,face_shield,20
bc06d56d-22b5-4023-91c6-1b6a833251d3,f215c15d-3884-4698-9092-fa952f0267c2,02642858-201d-40d0-bded-907c21d0d236,delivered,,2020-05-08 00:00:00 UTC,2020-10-14 07:10:18 UTC,n95,30
05f2b076-c97f-459d-b6bf-38c73e88e80e,9ddda6e9-e9bb-4008-a1b9-23774f0ba6a2,0270166b-aa56-435d-804a-fda548a60fe0,closed,no_supply,2020-08-13 18:11:41.32 UTC,2020-08-17 07:08:51 UTC,n95,50
13ef46f9-743e-442a-b14c-fe489ba8cdca,dd078076-fe92-4a70-bb68-d0d33cac0119,0270166b-aa56-435d-804a-fda548a60fe0,closed,no_contact_facility,2021-03-26 15:22:11.483 UTC,2021-04-30 19:08:40.896 UTC,n95,5000
27084ad3-dc96-48b6-b2e5-47a5510f69a9,651efbe1-bfa4-4b63-93d5-3869cffebd72,0270166b-aa56-435d-804a-fda548a60fe0,delivered,,2021-01-30 04:05:15.182 UTC,2021-02-06 19:45:08.098 UTC,kn95,20
edc7cb56-8adb-4cd4-b207-704dc6efb898,4b79b8c6-f857-4e3c-ac7f-dcaf4969a58c,0270166b-aa56-435d-804a-fda548a60fe0,delivered,,2020-06-25 00:00:00 UTC,2020-10-14 07:10:37 UTC,coveralls,50
17c9e0c9-722f-454d-9bbc-6967ad184c67,4830af21-0fc4-4b85-a4c8-29d2608142a3,029a7d91-6c10-4a18-bc6a-62cf3c7d9d74,closed,no_contact_facility,2021-06-07 23:58:37.221 UTC,2021-06-27 20:45:17.226 UTC,three_ply_mask,30
17c9e0c9-722f-454d-9bbc-6967ad184c67,4830af21-0fc4-4b85-a4c8-29d2608142a3,029a7d91-6c10-4a18-bc6a-62cf3c7d9d74,closed,no_contact_facility,2021-06-07 23:58:37.221 UTC,2021-06-27 20:45:17.226 UTC,sanitizer,10
